"ts_code","symbol","name","area","industry","market","list_date"
"600838.SH","600838","上海九百","上海","百货","主板","19940224"
"600839.SH","600839","四川长虹","四川","家用电器","主板","19940311"
"600841.SH","600841","上柴股份","上海","机械基件","主板","19940311"
"600843.SH","600843","上工申贝","上海","纺织机械","主板","19940311"
"600844.SH","600844","丹化科技","江苏","化工原料","主板","19940311"
"600845.SH","600845","宝信软件","上海","软件服务","主板","19940311"
"600846.SH","600846","同济科技","上海","建筑工程","主板","19940311"
"600847.SH","600847","万里股份","重庆","电气设备","主板","19940324"
"600848.SH","600848","上海临港","上海","园区开发","主板","19940324"
"600850.SH","600850","电科数字","上海","软件服务","主板","19940324"
"600851.SH","600851","海欣股份","上海","化学制药","主板","19940404"
"600853.SH","600853","龙建股份","黑龙江","建筑工程","主板","19940404"
"600854.SH","600854","春兰股份","江苏","家用电器","主板","19940425"
"600855.SH","600855","航天长峰","北京","专用机械","主板","19940425"
"600856.SH","600856","ST中天","北京","供气供热","主板","19940425"
"600857.SH","600857","宁波中百","浙江","百货","主板","19940425"
"600858.SH","600858","银座股份","山东","百货","主板","19940506"
"600859.SH","600859","王府井","北京","百货","主板","19940506"
"600860.SH","600860","京城股份","北京","专用机械","主板","19940506"
"600861.SH","600861","北京城乡","北京","百货","主板","19940520"
"600862.SH","600862","中航高科","江苏","航空","主板","19940520"
"600863.SH","600863","内蒙华电","内蒙","火力发电","主板","19940520"
"600864.SH","600864","哈投股份","黑龙江","证券","主板","19940809"
"600865.SH","600865","百大集团","浙江","百货","主板","19940809"
"600866.SH","600866","星湖科技","广东","食品","主板","19940818"
"600867.SH","600867","通化东宝","吉林","生物制药","主板","19940824"
"600868.SH","600868","梅雁吉祥","广东","水力发电","主板","19940912"
"600869.SH","600869","远东股份","青海","电气设备","主板","19950206"
"600870.SH","600870","*ST厦华","福建","家用电器","主板","19950228"
"600871.SH","600871","石化油服","北京","石油开采","主板","19950411"
"600872.SH","600872","中炬高新","广东","食品","主板","19950124"
"600873.SH","600873","梅花生物","西藏","食品","主板","19950217"
"600874.SH","600874","创业环保","天津","环境保护","主板","19950630"
"600875.SH","600875","东方电气","四川","电气设备","主板","19951010"
"600876.SH","600876","洛阳玻璃","河南","玻璃","主板","19951031"
"600877.SH","600877","电能股份","重庆","电气设备","主板","19951013"
"600879.SH","600879","航天电子","湖北","航空","主板","19951115"
"600880.SH","600880","博瑞传播","四川","广告包装","主板","19951115"
"600881.SH","600881","亚泰集团","吉林","水泥","主板","19951115"
"600882.SH","600882","妙可蓝多","上海","乳制品","主板","19951206"
"600883.SH","600883","博闻科技","云南","水泥","主板","19951208"
"600884.SH","600884","杉杉股份","浙江","综合类","主板","19960130"
"600885.SH","600885","宏发股份","湖北","电气设备","主板","19960205"
"600886.SH","600886","国投电力","北京","水力发电","主板","19960118"
"600887.SH","600887","伊利股份","内蒙","乳制品","主板","19960312"
"600888.SH","600888","新疆众和","新疆","铝","主板","19960215"
"600889.SH","600889","南京化纤","江苏","化纤","主板","19960308"
"600890.SH","600890","*ST中房","北京","区域地产","主板","19960318"
"600892.SH","600892","大晟文化","深圳","影视音像","主板","19960315"
"600893.SH","600893","航发动力","陕西","航空","主板","19960408"
"600894.SH","600894","广日股份","广东","运输设备","主板","19960328"
"600895.SH","600895","张江高科","上海","园区开发","主板","19960422"
"600896.SH","600896","*ST海医","海南","医疗保健","主板","19960503"
"600897.SH","600897","厦门空港","福建","机场","主板","19960531"
"600898.SH","600898","ST美讯","山东","通信设备","主板","19960418"
"600900.SH","600900","长江电力","北京","水力发电","主板","20031118"
"600901.SH","600901","江苏租赁","江苏","多元金融","主板","20180301"
"600903.SH","600903","贵州燃气","贵州","供气供热","主板","20171107"
"600905.SH","600905","三峡能源","北京","新型电力","主板","20210610"
"600906.SH","600906","财达证券","河北","证券","主板","20210507"
"600908.SH","600908","无锡银行","江苏","银行","主板","20160923"
"600909.SH","600909","华安证券","安徽","证券","主板","20161206"
"600916.SH","600916","中国黄金","北京","黄金","主板","20210205"
"600917.SH","600917","重庆燃气","重庆","供气供热","主板","20140930"
"600918.SH","600918","中泰证券","山东","证券","主板","20200603"
"600919.SH","600919","江苏银行","江苏","银行","主板","20160802"
"600926.SH","600926","杭州银行","浙江","银行","主板","20161027"
"600928.SH","600928","西安银行","陕西","银行","主板","20190301"
"600929.SH","600929","雪天盐业","湖南","食品","主板","20180326"
"600933.SH","600933","爱柯迪","浙江","汽车配件","主板","20171117"
"600936.SH","600936","广西广电","广西","影视音像","主板","20160815"
"600939.SH","600939","重庆建工","重庆","建筑工程","主板","20170221"
"600956.SH","600956","新天绿能","河北","供气供热","主板","20200629"
